A,C,D,E
1552022,7,0,0
1552909,35,0,0
1552377,54,0,0
1552598,46,0,0
1552838,54,0,0
1552663,8,0,0
1552784,25,0,0
1552860,32,3,0.1
1552587,11,0,0
1553329,30,4,-0.8
1553042,21,0,0
1552687,27,23,2.3
1553340,19,2,-0.1
1553056,22,1,-0.1
1553264,65,0,0
1553465,45,0,0
1553266,35,0,0
1553477,34,0,0
1553758,32,0,0
1553385,2,0,0
1553610,46,1,0.1
1553490,14,0,0
1553579,16,0,0
1553398,5,0,0
1553746,32,1,0
1553288,40,0,0
1555426,18,0,0
1555447,33,0,0
1555579,30,1,-0.1
1554961,78,1,-0.1
1555772,5,0,0
1556088,8,0,0
1558731,2,0,0
1562041,16,0,0
1563688,80,0,0
1563714,23,1,-0.2
1563544,10,0,0
1563826,56,0,0
1563829,3,0,0
1563873,52,1,0.1
1563880,60,0,0
1563883,31,7,-1.3
1563845,74,0,0
1563727,91,0,0
1563728,63,14,0
1563753,26,0,0
1563918,102,0,0
1563763,41,0,0
1564025,151,44,-0.9
1564032,6,0,0
1563785,26,0,0
1564046,11,0,0
1563805,66,0,0
1563807,42,0,0
1564242,28,0,0
1563950,53,2,0
1563932,84,0,0
1563956,37,4,0
1564148,88,1,-0.1
1564278,106,0,0
1563991,11,0,0
1564164,63,0,0
1564287,42,0,0
1564000,22,1,-0.1
1564296,1,0,0
1564009,81,0,0
1564302,78,0,0
1564022,99,0,0
1564207,29,0,0
1564137,76,0,0
1564080,31,0,0
1564088,93,4,0.4
1564101,45,0,0
1564102,65,0,0
1564105,39,0,0
1564801,8,0,0
1564348,52,12,-0.6
1564351,42,0,0
1564355,45,4,-0.6
1563436,9,0,0
1565604,30,0,0
1565609,15,3,0
1565997,37,0,0
1565751,29,0,0
1565809,17,0,0
1565811,7,0,0
1521617,20,0,0
1521740,115,0,0
1521602,81,3,-0.4
1522054,82,3,-0.6
1521904,90,5,-0.3
1522458,5,1,0.1
1522107,162,0,0
1521921,26,0,0
1522882,6,0,0
1523083,18,0,0
1523091,73,0,0
1522921,9,0,0
1523118,87,0,0
1522945,16,0,0
1523558,68,0,0
1522954,13,0,0
1523572,3,0,0
1522842,8,0,0
1523546,10,0,0
1523768,18,0,0
1523637,1,0,0
1523579,42,0,0
1523816,18,0,0
1523467,2,0,0
1524371,42,0,0
1524246,21,0,0
1524417,39,1,-0.2
1524462,56,7,-0.7
1524782,8,10,0.5
1524628,8,4,-0.5
1524647,14,0,0
1525251,47,0,0
1524797,5,0,0
1524312,20,0,0
1524535,50,0,0
1524317,61,2,-0.2
1525276,55,0,0
1525024,34,2,-0.1
1524703,120,2,0
1525130,4,0,0
1525553,45,0,0
1525967,23,0,0
1525754,10,4,0
1525972,5,0,0
1525476,53,9,-1.3
1525418,33,22,-2.7
1526162,37,12,-0.8
1525820,14,0,0
1525990,29,0,0
1525705,43,16,-1.1
1526406,3,0,0
1525642,24,0,0
1525749,79,1,0.1
1525902,68,0,0
1525855,34,0,0
1526249,31,0,0
1526095,48,28,0.9
1525953,70,12,-0.4
1526499,51,37,-3.9
1526301,28,0,0
1526128,3,0,0
